"Name","Category","Author","Description","Rating","Num of Reviews","ASIN","Application ID","Release Date","Invocation Name","Example Interaction 1","Example Interaction 2","Example Interaction 3","Privacy Policy","Terms of Use","In-App Purchasing"
"1-2-3 Math","Education","Shanthan Kesharaju","1-2-3 Math, tests your elementary mathematics topics like after, before, between; greater or lesser, more or less, addition, subtraction etc.",3.6,5,"B01AVQLZQ0","amzn1.echo-sdk-ams.app.2b1d7bfa-c110-4249-a572-ea0d99528873","2016-01-20 19:36:15","one two three","Alexa, Open one two three","","","","","No"
"1-800-Flowers","Other","www.1800flowers.com","With a streamlined ordering process, you can quickly send flowers to your loved ones using this 1-800-Flowers skill. Simply connect your 1-800-Flowers account and you can send your contacts beautiful arrangements. You can choose the floral arrangement style, arrangement size, and delivery date. The flowers will be delivered to your contact's address in your 1-800-Flowers account. Your existing payment credentials in your account are used to pay for the delivery, so there is no need to enter additional payment information. It has never been simpler to show those you love that you care.",4.7,4,"B01E7TSGIW","amzn1.echo-sdk-ams.app.6b600e79-2603-40ad-a959-81a74feefd4c","2016-04-20 12:09:28","one eight hundred flowers","Alexa ask 1-800-Flowers to order Becky flowers","Alexa tell 1-800-Flowers I want to send flowers to Lindsey on May 28th.","Alexa tell 1-800-Flowers I need a large Mother's Day arrangement for Christine.","http://www.1800flowers.com/About-Us-Privacy-Policy","","Yes"
"1-Minute Mindfulness","Lifestyle","GeekGirl Marketing and App Development","1-Minute Mindfulness from Walking Affirmations is a skill that allows you to take a break from the world around you and enter into a one minute sound meditation. Practicing mindfulness improves both mental and physical health. Mindfulness involves both concentration (a form of meditation) and acceptance. Many people struggle with how to begin meditating and get the rewards of a more contemplative life, so this skill is the perfect way to start a meditation practice. You can change your life, and change the world... one minute at a time. \n\nAs your meditation begins, remember all you have to do is focus on your breath. However this is harder than it seems. As your mind begins to wander, notice it, accept it lovingly and return your focus to your breathing. Its a little like training a puppy. As your mind thinks of other things, lovingly and gently return the focus to your breath. In time you will be able to stay present and focused for the full length of time. \n\nThere are several different meditations available. You can ask for a peaceful meditation or one with specific sounds. You can ask for a quick meditation or a forest meditation. You can also ask for a river meditation. Each of these one minute meditations will play a related meditative soundtrack to help you tune out the world and focus on your breath.\n\nHere are some examples of what you can say:\n""Alexa Open Mindfulness and Ask for a quick meditation""\n""Alexa Open Mindfulness and Ask for a 1 minute meditation""\n""Alexa Open Mindfulness and Ask for a minute meditation""\n""Alexa Open Mindfulness and Ask for a peaceful meditation""\n""Alexa Open Mindfulness and Ask for a river meditation""\n""Alexa Open Mindfulness and Ask for a forest meditation""\n\nYou can also use the example phrases below as your guide. For more information about affirmations, meditations and mindfulness, visit walkingaffirmations.com",4.3,17,"B01BN1DYBQ","amzn1.echo-sdk-ams.app.d5cd74c4-4884-41fe-a8af-d9330a2fd53e","2016-02-10 17:37:51","mindfulness","Alexa, Ask Mindfulness for a minute meditation.","Alexa, Ask Mindfulness for a forest meditation.","Alexa, Ask Mindfulness for a peaceful meditation.","https://www.iubenda.com/privacy-policy/7758923","","No"
"15-122 Queue Times","Education","Jonathan Burns","This skill is designed to be used by students and TAs of the course ""15-122: Principles of Imperative Computation"" at Carnegie Mellon University. With this skill, you will never wonder if it's worth coming to office hours again! You can easily find out how long the average wait time on the 15-122 office hours queue is. The average wait time is pulled from the online office hours queue (cmuq.mod.bz) in real time so the average wait time is never out-of-date.",0,0,"B01CF059GM","amzn1.echo-sdk-ams.app.c1ebf7ae-be1e-45dc-878e-2d3fac18cffb","2016-03-01 13:13:30","the queue","Alexa, ask the queue, what is the average wait time?","Alexa, tell the queue to give me the wait time.","Alexa, open the Queue.","","http://jbio.co/alexa-cmuq.html","No"
"21 Dayz","Productivity","Agile Planners","21 Dayz will help guide you in your journey to developing new business or personal habits with daily intents and affirmations. Start by selecting business or personal, then a subcategory like finance or growth for business or health and fitness or personal development for the personal category. Once you have made your selections, the journey begins.",1.5,2,"B01B79Q5KQ","amzn1.echo-sdk-ams.app.a4055920-713d-4665-bb6b-ac6a90cc0f71","2016-01-28 23:17:36","twenty one days","Alexa, start 21 Dayz","Alexa, ask 21 Dayz for today's intents","Alexa, ask 21 Dayz to restart","","","No"
"30Sec","Social","vobok","ThirtySec provides daily inspirational voices.  You can Ask Alexa  to play Thirty Sec  inspirational voices for the day. Please ask 30sec to play by providing name of the person.  example: Alexa ask thirty sec find me Ron Kardashian",5,2,"B01DZRLWFQ","amzn1.echo-sdk-ams.app.dc1a72a8-7c6d-4679-b5f9-5356e1e71cca","2016-04-29 00:38:34","thirty sec","Alexa, ask thirty sec to play Jerry Rice","Alexa ask thirty sec find me Ron Kardashian","Alexa ask thirty sec  get me Ray Mueller","","","No"
"4AFart","Entertainment","Bloatware","Just have Alexa ask for a fart and watch hilarity ensue as she lets one rip. With random  farts of varying levels of repugnance, there's never a dull moment!\n\nYou'll be provided with hours of entertainment and education for the whole family. Granny will love it and best of all, these air biscuits will not drive you out of the room!\n\nNote: Expert users with precision timing may want to try this amusing gag: Just wait until you have to let one loose, then call on Alexa to do the deed - and blame it on her!\n\nFor more information, go to http://bloatware.wordpress.com\nFor speaking engagements, interviews, or presidential endorsements, contact us at  bloatware.skill@gmail.com",3.4,108,"B019NU7L5O","amzn1.echo-sdk-ams.app.2990d825-2dee-479d-9eb8-259593385d52","2015-12-21 17:58:20","for a fart","Alexa, Ask For A Fart","","","","","No"
"7-Minute Workout","Health-and-Fitness","Pargee","*NEW* Version 2.0 Update! (See below)\n\nThe 7-Minute Workout is a scientifically proven set of exercises designed to increase metabolism, improve energy, lower stress, and best of all, remove fat! It's a small daily commitment for such enormous benefits.\n\nTo get started, you simply need to say 'Start 7-Minute Workout,' and you will be guided through the entire routine. Take breaks as you need them, and let Alexa know when you are ready to begin the next exercise, but don't forget to push yourself!\n\nPlease share your thoughts, and we will do our best to make the 7-Minute Workout the perfect workout companion for your busy life! \n\nYou can email me directly at justin@pargee.com with any questions, comments or concerns.\n\nFuture releases will offer additional features based on community feedback such as:\n-Advanced mode containing more difficult exercises.\n\nUpdate 2.0:\n-Helpful images and tutorials via the Alexa Companion App!\n-Keep track of and resume existing workouts!\n-Various minor tweaks and fixes :)\n\nUpdate 1.1: \n-Improved error handling for ready intents to accept addition words and phrases.",3.2,84,"B018WUNBE6","amzn1.echo-sdk-ams.app.0e4a4011-a854-4aea-b719-40472fc4a8c5","2015-12-03 19:59:55","seven minute workout","Alexa, start seven minute workout.","Start workout","Ready","","","No"
"7Sigma","Productivity","7Sigma Systems Dev","The Ask 7Sigma skill combines data from multiple sources to provide you with a customized operational update. The opportunities are endless and will give you insight into aspects of your organization that were not previously possible. For extended help and to sign up, please visit https://ask.7sigma.com",3,6,"B01996D2XW","amzn1.echo-sdk-ams.app.fb62f530-c247-4bc8-a89d-b0d7367baca4","2015-12-11 16:56:05","seven sigma","Alexa, ask 7 Sigma for my update.","Alexa, ask 7 Sigma what's my update for yesterday?","Alexa, ask 7 Sigma to give me my update for last Thursday.","https://ask.7sigma.com/7SigmaInternetPrivacyPolicy.pdf","https://ask.7sigma.com/7SigmaTermsOfService.pdf","No"
"80's Movie Trivia","Entertainment","DSApps","If you say ""Alexa play 80's Movie Trivia"" you will be presented with 5 questions each with a choice of 5 answers.  Alexa with read your choices of answers along with a corresponding number.  Answer using the number that is associated with the correct answer.  At the end of the 5 questions Alexa will tell you how many you answered correctly.",3,3,"B01DE3FBN0","amzn1.echo-sdk-ams.app.17a1a310-8f50-4133-99ed-8a1a2ff693df","2016-03-24 13:03:44","eighties movie trivia","Alexa, open eighties movie trivia","i don't know","skip","","","No"
